order_id,order_date,supplier,product,category,quantity,unit_price,total_cost,delivery_days,complaint
PO-008621,2024-01-01,EuroFoods GmbH,Äpfel,Obst & Gemüse,559,1.45,810.55,5,Nein
PO-014849,2024-01-01,GreenFields GmbH,Käse,Milchprodukte,246,5.13,1261.98,4,Nein
PO-029612,2024-01-01,FreshTrade GmbH,Kartoffeln,Obst & Gemüse,131,0.9,117.9,4,Nein
PO-031900,2024-01-01,LandGut GmbH,Kartoffeln,Obst & Gemüse,420,0.84,352.8,4,Ja
PO-037779,2024-01-01,LandGut GmbH,Hähnchen,Fleisch,426,6.17,2628.42,10,Nein
PO-012574,2024-01-01,FoodSupply GmbH,Putenfleisch,Fleisch,326,7.41,2415.66,2,Nein
PO-008550,2024-01-01,FoodSupply GmbH,Mehl,Getreide,730,0.82,598.6,4,Nein
PO-048728,2024-01-01,EuroFoods GmbH,Tomaten,Obst & Gemüse,281,2.08,584.48,4,Nein
PO-001494,2024-01-01,FreshTrade GmbH,Reis,Getreide,450,1.83,823.5,7,Nein
PO-039008,2024-01-01,EuroFoods GmbH,Haferflocken,Getreide,434,1.3,564.2,5,Nein
PO-047963,2024-01-01,NordFood GmbH,Kartoffeln,Obst & Gemüse,484,0.94,454.96,7,Nein
PO-029871,2024-01-01,LandGut GmbH,Tomaten,Obst & Gemüse,438,1.79,784.02,10,Nein
PO-022163,2024-01-01,AgroFresh GmbH,Putenfleisch,Fleisch,16,7.64,122.24,4,Nein
PO-014435,2024-01-01,AgroFresh GmbH,Joghurt,Milchprodukte,424,0.73,309.52,3,Nein
PO-015950,2024-01-01,LandGut GmbH,Tomaten,Obst & Gemüse,310,1.9,589.0,4,Nein
PO-022991,2024-01-01,EuroFoods GmbH,Tomaten,Obst & Gemüse,30,2.04,61.2,3,Nein
PO-003968,2024-01-01,FoodSupply GmbH,Milch,Milchprodukte,539,1.0,539.0,3,Nein
PO-033018,2024-01-01,FreshTrade GmbH,Äpfel,Obst & Gemüse,441,1.37,604.17,3,Nein
PO-000991,2024-01-01,GreenFields GmbH,Tomaten,Obst & Gemüse,749,1.87,1400.63,4,Nein
PO-014584,2024-01-01,EuroFoods GmbH,Hähnchen,Fleisch,270,6.53,1763.1,4,Nein
PO-010522,2024-01-01,LandGut GmbH,Reis,Getreide,995,1.77,1761.15,8,Nein
PO-026322,2024-01-01,EuroFoods GmbH,Nudeln,Getreide,128,1.09,139.52,3,Nein
PO-001283,2024-01-01,NordFood GmbH,Äpfel,Obst & Gemüse,640,1.38,883.2,6,Nein
PO-008300,2024-01-01,BioHarvest GmbH,Bananen,Obst & Gemüse,149,1.34,199.66,2,Nein
PO-026336,2024-01-01,FreshTrade GmbH,Bananen,Obst & Gemüse,856,1.18,1010.08,6,Nein
PO-005410,2024-01-01,EuroFoods GmbH,Karotten,Obst & Gemüse,706,1.16,818.96,3,Nein
PO-004632,2024-01-01,LandGut GmbH,Butter,Milchprodukte,97,2.17,210.49,8,Nein
PO-018076,2024-01-01,EuroFoods GmbH,Putenfleisch,Fleisch,862,7.23,6232.26,5,Nein
PO-025584,2024-01-01,EuroFoods GmbH,Hähnchen,Fleisch,362,6.72,2432.64,4,Nein
PO-031858,2024-01-02,AgroFresh GmbH,TK-Beeren,Tiefkühlprodukte,228,4.62,1053.36,2,Nein
PO-002344,2024-01-02,GreenFields GmbH,Käse,Milchprodukte,448,5.36,2401.28,8,Nein
PO-008877,2024-01-02,LandGut GmbH,TK-Gemüse,Tiefkühlprodukte,295,2.38,702.1,6,Nein
PO-006695,2024-01-02,BioHarvest GmbH,TK-Gemüse,Tiefkühlprodukte,54,2.71,146.34,4,Nein
PO-037092,2024-01-02,BioHarvest GmbH,Bananen,Obst & Gemüse,544,1.34,728.96,1,Nein
PO-049324,2024-01-02,FoodSupply GmbH,TK-Beeren,Tiefkühlprodukte,891,4.55,4054.05,2,Nein
PO-024135,2024-01-02,FreshTrade GmbH,Putenfleisch,Fleisch,17,7.26,123.42,3,Nein
PO-048940,2024-01-02,FoodSupply GmbH,TK-Pommes,Tiefkühlprodukte,536,1.97,1055.92,2,Nein
PO-029929,2024-01-02,NordFood GmbH,Rindfleisch,Fleisch,933,11.3,10542.9,4,Nein
PO-029927,2024-01-02,FreshTrade GmbH,Hähnchen,Fleisch,619,6.19,3831.61,5,Nein
PO-011022,2024-01-02,LandGut GmbH,Reis,Getreide,770,1.65,1270.5,7,Ja
PO-029868,2024-01-02,BioHarvest GmbH,Butter,Milchprodukte,853,2.52,2149.56,1,Nein
PO-000270,2024-01-02,LandGut GmbH,Butter,Milchprodukte,866,1.9,1645.4,9,Nein
PO-018860,2024-01-02,EuroFoods GmbH,Reis,Getreide,100,1.78,178.0,6,Nein
PO-010439,2024-01-02,FreshTrade GmbH,Kartoffeln,Obst & Gemüse,930,0.91,846.3,6,Nein
PO-036389,2024-01-02,GreenFields GmbH,Äpfel,Obst & Gemüse,782,1.48,1157.36,7,Nein
PO-002784,2024-01-02,GreenFields GmbH,Käse,Milchprodukte,170,5.4,918.0,6,Nein
PO-009295,2024-01-02,GreenFields GmbH,Putenfleisch,Fleisch,23,7.1,163.3,7,Nein
PO-025154,2024-01-02,AgroFresh GmbH,Mehl,Getreide,831,0.86,714.66,1,Nein
PO-000345,2024-01-02,AgroFresh GmbH,Karotten,Obst & Gemüse,564,1.14,642.96,1,Nein
PO-017579,2024-01-02,AgroFresh GmbH,Butter,Milchprodukte,489,2.43,1188.27,4,Nein
PO-021242,2024-01-02,LandGut GmbH,Joghurt,Milchprodukte,413,0.67,276.71,8,Nein
PO-039064,2024-01-02,LandGut GmbH,Karotten,Obst & Gemüse,95,1.09,103.55,6,Nein
PO-013342,2024-01-02,BioHarvest GmbH,Bananen,Obst & Gemüse,966,1.37,1323.42,2,Nein
PO-013450,2024-01-02,LandGut GmbH,Mehl,Getreide,60,0.75,45.0,6,Nein
PO-024627,2024-01-02,BioHarvest GmbH,Kartoffeln,Obst & Gemüse,946,0.99,936.54,4,Nein
PO-022788,2024-01-02,BioHarvest GmbH,Kartoffeln,Obst & Gemüse,324,1.03,333.72,2,Nein
PO-013581,2024-01-02,NordFood GmbH,Rindfleisch,Fleisch,232,10.45,2424.4,3,Nein
PO-039827,2024-01-02,FreshTrade GmbH,Karotten,Obst & Gemüse,14,1.05,14.7,5,Nein
PO-024099,2024-01-02,AgroFresh GmbH,Butter,Milchprodukte,600,2.39,1434.0,2,Nein
PO-047129,2024-01-02,FreshTrade GmbH,Putenfleisch,Fleisch,571,7.62,4351.02,4,Ja
PO-002500,2024-01-02,EuroFoods GmbH,TK-Beeren,Tiefkühlprodukte,917,4.64,4254.88,5,Nein
PO-032789,2024-01-02,NordFood GmbH,Äpfel,Obst & Gemüse,75,1.4,105.0,6,Nein
PO-023894,2024-01-02,GreenFields GmbH,Nudeln,Getreide,845,1.06,895.7,3,Nein
PO-010510,2024-01-02,GreenFields GmbH,Milch,Milchprodukte,793,0.94,745.42,6,Nein
PO-033587,2024-01-02,AgroFresh GmbH,Milch,Milchprodukte,803,0.91,730.73,1,Nein
PO-035601,2024-01-02,BioHarvest GmbH,Mehl,Getreide,902,0.87,784.74,2,Nein
PO-026689,2024-01-02,EuroFoods GmbH,Haferflocken,Getreide,197,1.42,279.74,4,Ja
PO-043269,2024-01-02,AgroFresh GmbH,Karotten,Obst & Gemüse,733,1.23,901.59,1,Nein
PO-000086,2024-01-02,FreshTrade GmbH,Bananen,Obst & Gemüse,79,1.18,93.22,7,Nein
PO-047628,2024-01-02,GreenFields GmbH,Karotten,Obst & Gemüse,370,1.07,395.9,4,Nein
PO-023899,2024-01-03,BioHarvest GmbH,TK-Gemüse,Tiefkühlprodukte,622,2.55,1586.1,3,Nein
PO-005083,2024-01-03,FreshTrade GmbH,Putenfleisch,Fleisch,647,7.24,4684.28,6,Nein
PO-001955,2024-01-03,NordFood GmbH,Butter,Milchprodukte,115,2.23,256.45,5,Nein
PO-012714,2024-01-03,GreenFields GmbH,Mehl,Getreide,281,0.72,202.32,4,Nein
PO-017952,2024-01-03,LandGut GmbH,Reis,Getreide,521,1.59,828.39,7,Nein
PO-008574,2024-01-03,NordFood GmbH,Mehl,Getreide,38,0.82,31.16,5,Nein
PO-006059,2024-01-03,GreenFields GmbH,Butter,Milchprodukte,881,2.24,1973.44,5,Nein
PO-012806,2024-01-03,LandGut GmbH,Käse,Milchprodukte,649,5.26,3413.74,8,Nein
PO-010248,2024-01-03,EuroFoods GmbH,Hähnchen,Fleisch,947,6.32,5985.04,4,Nein
PO-034321,2024-01-03,LandGut GmbH,TK-Beeren,Tiefkühlprodukte,12,4.1,49.2,9,Nein
PO-045303,2024-01-03,EuroFoods GmbH,Butter,Milchprodukte,771,2.15,1657.65,4,Nein
PO-045146,2024-01-03,BioHarvest GmbH,Reis,Getreide,672,2.06,1384.32,1,Nein
PO-014508,2024-01-03,GreenFields GmbH,Tomaten,Obst & Gemüse,36,1.88,67.68,6,Ja
PO-047868,2024-01-03,GreenFields GmbH,Nudeln,Getreide,10,1.14,11.4,6,Nein
PO-016932,2024-01-03,AgroFresh GmbH,Butter,Milchprodukte,185,2.1,388.5,3,Nein
PO-026525,2024-01-03,FoodSupply GmbH,TK-Pommes,Tiefkühlprodukte,396,2.21,875.16,3,Nein
PO-041494,2024-01-03,FreshTrade GmbH,Reis,Getreide,476,1.77,842.52,8,Nein
PO-034150,2024-01-03,BioHarvest GmbH,Putenfleisch,Fleisch,83,8.37,694.71,2,Nein
PO-017033,2024-01-03,FoodSupply GmbH,Hähnchen,Fleisch,644,6.74,4340.56,3,Nein
PO-028708,2024-01-03,GreenFields GmbH,Mehl,Getreide,265,0.79,209.35,5,Nein
PO-039027,2024-01-03,LandGut GmbH,TK-Beeren,Tiefkühlprodukte,121,4.47,540.87,5,Ja
PO-002032,2024-01-03,BioHarvest GmbH,Nudeln,Getreide,496,1.2,595.2,2,Nein
PO-042841,2024-01-03,GreenFields GmbH,TK-Pommes,Tiefkühlprodukte,606,1.91,1157.46,6,Nein
PO-004878,2024-01-03,GreenFields GmbH,Äpfel,Obst & Gemüse,521,1.31,682.51,5,Nein
PO-023230,2024-01-03,LandGut GmbH,TK-Pommes,Tiefkühlprodukte,726,1.85,1343.1,9,Nein
PO-005808,2024-01-03,FoodSupply GmbH,Joghurt,Milchprodukte,78,0.72,56.16,5,Nein
PO-002722,2024-01-03,BioHarvest GmbH,Rindfleisch,Fleisch,390,11.75,4582.5,4,Nein
PO-031814,2024-01-03,EuroFoods GmbH,Käse,Milchprodukte,766,5.67,4343.22,2,Nein
PO-026214,2024-01-03,GreenFields GmbH,Äpfel,Obst & Gemüse,95,1.33,126.35,5,Nein
PO-001162,2024-01-03,NordFood GmbH,TK-Gemüse,Tiefkühlprodukte,504,2.61,1315.44,2,Nein
PO-029926,2024-01-03,LandGut GmbH,Putenfleisch,Fleisch,616,6.75,4158.0,9,Nein
PO-033876,2024-01-03,GreenFields GmbH,Joghurt,Milchprodukte,801,0.63,504.63,3,Nein
PO-017886,2024-01-03,AgroFresh GmbH,Kartoffeln,Obst & Gemüse,255,0.95,242.25,2,Nein
PO-019359,2024-01-03,EuroFoods GmbH,Putenfleisch,Fleisch,783,7.22,5653.26,4,Nein
PO-031212,2024-01-03,EuroFoods GmbH,Käse,Milchprodukte,634,5.74,3639.16,5,Nein
PO-023535,2024-01-03,FreshTrade GmbH,Bananen,Obst & Gemüse,324,1.22,395.28,4,Nein
PO-017869,2024-01-03,GreenFields GmbH,Rindfleisch,Fleisch,799,10.49,8381.51,6,Ja
PO-048097,2024-01-03,EuroFoods GmbH,TK-Gemüse,Tiefkühlprodukte,53,2.55,135.15,4,Nein
PO-017379,2024-01-03,FreshTrade GmbH,Putenfleisch,Fleisch,66,7.24,477.84,5,Nein
PO-016356,2024-01-03,BioHarvest GmbH,Mehl,Getreide,558,0.89,496.62,3,Nein
PO-045797,2024-01-03,EuroFoods GmbH,Putenfleisch,Fleisch,723,7.42,5364.66,3,Nein
PO-025516,2024-01-03,LandGut GmbH,Tomaten,Obst & Gemüse,66,1.91,126.06,5,Nein
PO-037503,2024-01-03,FoodSupply GmbH,Äpfel,Obst & Gemüse,232,1.45,336.4,3,Nein
PO-036440,2024-01-04,FoodSupply GmbH,TK-Beeren,Tiefkühlprodukte,682,5.08,3464.56,1,Nein
PO-037590,2024-01-04,EuroFoods GmbH,TK-Gemüse,Tiefkühlprodukte,549,2.58,1416.42,3,Nein
PO-030435,2024-01-04,FoodSupply GmbH,Bananen,Obst & Gemüse,757,1.21,915.97,3,Nein
PO-017139,2024-01-04,FoodSupply GmbH,Tomaten,Obst & Gemüse,530,2.05,1086.5,6,Nein
PO-037888,2024-01-04,FreshTrade GmbH,Mehl,Getreide,796,0.77,612.92,2,Nein
PO-031374,2024-01-04,AgroFresh GmbH,Joghurt,Milchprodukte,226,0.79,178.54,1,Nein
PO-007441,2024-01-04,BioHarvest GmbH,Hähnchen,Fleisch,335,6.79,2274.65,3,Nein
PO-030673,2024-01-04,GreenFields GmbH,Käse,Milchprodukte,407,5.2,2116.4,5,Nein
PO-018534,2024-01-04,BioHarvest GmbH,Bananen,Obst & Gemüse,214,1.3,278.2,4,Nein
PO-017471,2024-01-04,AgroFresh GmbH,Käse,Milchprodukte,966,5.93,5728.38,5,Nein
PO-045677,2024-01-04,BioHarvest GmbH,Putenfleisch,Fleisch,861,7.96,6853.56,5,Nein
PO-033996,2024-01-04,FreshTrade GmbH,Reis,Getreide,523,1.79,936.17,7,Nein
PO-009584,2024-01-04,NordFood GmbH,Putenfleisch,Fleisch,624,7.67,4786.08,4,Nein
PO-041308,2024-01-04,BioHarvest GmbH,Bananen,Obst & Gemüse,606,1.29,781.74,2,Nein
PO-001254,2024-01-04,AgroFresh GmbH,TK-Beeren,Tiefkühlprodukte,877,4.69,4113.13,4,Nein
PO-013916,2024-01-04,FoodSupply GmbH,Käse,Milchprodukte,210,5.51,1157.1,5,Nein
PO-014517,2024-01-04,AgroFresh GmbH,Putenfleisch,Fleisch,678,7.54,5112.12,4,Nein
PO-029796,2024-01-04,EuroFoods GmbH,Nudeln,Getreide,35,1.02,35.7,3,Nein
PO-040198,2024-01-04,LandGut GmbH,Käse,Milchprodukte,727,4.98,3620.46,8,Nein
PO-044798,2024-01-04,NordFood GmbH,Mehl,Getreide,648,0.71,460.08,3,Nein
PO-029932,2024-01-04,AgroFresh GmbH,Milch,Milchprodukte,131,0.97,127.07,5,Nein
PO-029338,2024-01-04,FreshTrade GmbH,TK-Gemüse,Tiefkühlprodukte,426,2.5,1065.0,7,Nein
PO-005298,2024-01-04,NordFood GmbH,Karotten,Obst & Gemüse,33,1.05,34.65,2,Nein
PO-038065,2024-01-04,FoodSupply GmbH,TK-Pommes,Tiefkühlprodukte,629,2.1,1320.9,6,Ja
PO-012735,2024-01-04,AgroFresh GmbH,TK-Pommes,Tiefkühlprodukte,553,2.11,1166.83,5,Nein
PO-007160,2024-01-04,GreenFields GmbH,Nudeln,Getreide,935,1.08,1009.8,5,Nein
PO-047067,2024-01-04,AgroFresh GmbH,Milch,Milchprodukte,280,0.97,271.6,2,Nein
PO-033082,2024-01-04,AgroFresh GmbH,TK-Beeren,Tiefkühlprodukte,975,4.51,4397.25,1,Nein
PO-001709,2024-01-04,FreshTrade GmbH,Butter,Milchprodukte,648,2.09,1354.32,4,Nein
PO-043424,2024-01-04,LandGut GmbH,Joghurt,Milchprodukte,739,0.69,509.91,9,Nein
PO-039440,2024-01-04,FoodSupply GmbH,TK-Pommes,Tiefkühlprodukte,756,2.01,1519.56,4,Nein
PO-025388,2024-01-04,LandGut GmbH,Joghurt,Milchprodukte,844,0.67,565.48,6,Nein
PO-022118,2024-01-04,FreshTrade GmbH,Milch,Milchprodukte,392,0.97,380.24,5,Nein
PO-035074,2024-01-04,GreenFields GmbH,Tomaten,Obst & Gemüse,39,1.98,77.22,7,Nein
PO-043289,2024-01-04,GreenFields GmbH,Mehl,Getreide,879,0.76,668.04,5,Nein
PO-023085,2024-01-04,FoodSupply GmbH,TK-Pommes,Tiefkühlprodukte,942,2.05,1931.1,1,Nein
PO-009954,2024-01-04,FreshTrade GmbH,TK-Pommes,Tiefkühlprodukte,965,1.95,1881.75,6,Nein
PO-026825,2024-01-04,EuroFoods GmbH,Milch,Milchprodukte,379,0.98,371.42,1,Nein
PO-010035,2024-01-04,EuroFoods GmbH,TK-Pommes,Tiefkühlprodukte,74,2.14,158.36,5,Nein
PO-038028,2024-01-04,BioHarvest GmbH,Haferflocken,Getreide,504,1.39,700.56,3,Nein
PO-039970,2024-01-04,GreenFields GmbH,Hähnchen,Fleisch,625,6.4,4000.0,5,Nein
PO-005053,2024-01-05,AgroFresh GmbH,Rindfleisch,Fleisch,175,12.08,2114.0,2,Nein
PO-046986,2024-01-05,FreshTrade GmbH,Joghurt,Milchprodukte,889,0.67,595.63,6,Nein
PO-022508,2024-01-05,EuroFoods GmbH,Reis,Getreide,250,1.85,462.5,6,Nein
PO-015313,2024-01-05,LandGut GmbH,TK-Pommes,Tiefkühlprodukte,886,1.85,1639.1,7,Nein
PO-029954,2024-01-05,FoodSupply GmbH,Milch,Milchprodukte,457,1.03,470.71,2,Nein
PO-032266,2024-01-05,NordFood GmbH,Rindfleisch,Fleisch,864,11.54,9970.56,3,Ja
PO-019169,2024-01-05,GreenFields GmbH,Kartoffeln,Obst & Gemüse,248,0.89,220.72,7,Nein
PO-044668,2024-01-05,NordFood GmbH,Tomaten,Obst & Gemüse,297,2.01,596.97,1,Nein
PO-006871,2024-01-05,FoodSupply GmbH,Joghurt,Milchprodukte,326,0.73,237.98,3,Nein
PO-039968,2024-01-05,NordFood GmbH,Milch,Milchprodukte,254,1.0,254.0,5,Nein
PO-030355,2024-01-05,FreshTrade GmbH,Hähnchen,Fleisch,282,6.14,1731.48,7,Nein
PO-030837,2024-01-05,EuroFoods GmbH,Hähnchen,Fleisch,733,6.47,4742.51,3,Nein
PO-042307,2024-01-05,EuroFoods GmbH,Mehl,Getreide,10,0.8,8.0,5,Nein
PO-022719,2024-01-05,LandGut GmbH,TK-Beeren,Tiefkühlprodukte,464,4.04,1874.56,9,Nein
PO-000945,2024-01-05,NordFood GmbH,Joghurt,Milchprodukte,415,0.71,294.65,6,Nein
PO-032357,2024-01-05,FreshTrade GmbH,TK-Pommes,Tiefkühlprodukte,826,1.99,1643.74,6,Nein
PO-043263,2024-01-05,LandGut GmbH,Käse,Milchprodukte,775,5.39,4177.25,8,Nein
PO-030299,2024-01-05,BioHarvest GmbH,Mehl,Getreide,53,0.91,48.23,2,Nein
PO-028135,2024-01-05,AgroFresh GmbH,Kartoffeln,Obst & Gemüse,28,0.91,25.48,2,Nein
PO-015549,2024-01-05,NordFood GmbH,Reis,Getreide,432,1.81,781.92,2,Nein
PO-006947,2024-01-05,FoodSupply GmbH,Rindfleisch,Fleisch,92,11.35,1044.2,3,Nein
PO-040857,2024-01-05,BioHarvest GmbH,Mehl,Getreide,295,0.88,259.6,5,Nein
PO-025597,2024-01-05,NordFood GmbH,TK-Pommes,Tiefkühlprodukte,219,1.91,418.29,2,Nein
PO-041630,2024-01-05,BioHarvest GmbH,Karotten,Obst & Gemüse,967,1.29,1247.43,1,Nein
PO-032906,2024-01-05,FoodSupply GmbH,Butter,Milchprodukte,425,2.34,994.5,3,Nein
PO-000171,2024-01-05,AgroFresh GmbH,Käse,Milchprodukte,486,5.41,2629.26,2,Nein
PO-040359,2024-01-05,AgroFresh GmbH,Hähnchen,Fleisch,294,7.41,2178.54,5,Nein
PO-031391,2024-01-05,EuroFoods GmbH,Tomaten,Obst & Gemüse,267,2.14,571.38,4,Nein
PO-041443,2024-01-05,FreshTrade GmbH,TK-Beeren,Tiefkühlprodukte,438,4.4,1927.2,6,Nein
PO-046306,2024-01-05,NordFood GmbH,Nudeln,Getreide,39,1.06,41.34,5,Nein
PO-020406,2024-01-05,EuroFoods GmbH,Reis,Getreide,401,1.82,729.82,6,Nein
PO-009444,2024-01-05,BioHarvest GmbH,Milch,Milchprodukte,303,1.0,303.0,1,Nein
PO-029909,2024-01-05,FreshTrade GmbH,TK-Gemüse,Tiefkühlprodukte,443,2.42,1072.06,3,Nein
PO-020122,2024-01-05,BioHarvest GmbH,Käse,Milchprodukte,646,6.08,3927.68,4,Nein
PO-043697,2024-01-05,FoodSupply GmbH,Milch,Milchprodukte,277,1.03,285.31,2,Nein
PO-016766,2024-01-05,FreshTrade GmbH,Käse,Milchprodukte,801,6.01,4814.01,6,Nein
PO-040937,2024-01-05,BioHarvest GmbH,Bananen,Obst & Gemüse,219,1.3,284.7,3,Nein
PO-048546,2024-01-05,NordFood GmbH,Milch,Milchprodukte,108,0.96,103.68,3,Nein
PO-001103,2024-01-05,EuroFoods GmbH,Nudeln,Getreide,491,1.09,535.19,4,Nein
PO-007052,2024-01-05,NordFood GmbH,Putenfleisch,Fleisch,326,7.42,2418.92,2,Nein
PO-033903,2024-01-05,BioHarvest GmbH,Putenfleisch,Fleisch,529,7.94,4200.26,3,Nein
PO-000543,2024-01-05,EuroFoods GmbH,Butter,Milchprodukte,642,2.19,1405.98,4,Nein
PO-045161,2024-01-05,AgroFresh GmbH,Hähnchen,Fleisch,777,6.71,5213.67,3,Nein
PO-017208,2024-01-05,AgroFresh GmbH,TK-Pommes,Tiefkühlprodukte,797,1.94,1546.18,2,Nein
PO-001349,2024-01-05,NordFood GmbH,Haferflocken,Getreide,72,1.31,94.32,5,Nein
PO-045830,2024-01-06,BioHarvest GmbH,Käse,Milchprodukte,982,5.85,5744.7,3,Nein
PO-038481,2024-01-06,AgroFresh GmbH,TK-Beeren,Tiefkühlprodukte,552,4.85,2677.2,5,Nein
PO-016179,2024-01-06,NordFood GmbH,Karotten,Obst & Gemüse,469,1.17,548.73,5,Nein
PO-042971,2024-01-06,FoodSupply GmbH,Joghurt,Milchprodukte,30,0.72,21.6,4,Nein
PO-045629,2024-01-06,NordFood GmbH,TK-Pommes,Tiefkühlprodukte,180,2.12,381.6,6,Nein
PO-049929,2024-01-06,LandGut GmbH,Rindfleisch,Fleisch,43,9.7,417.1,4,Nein
PO-049624,2024-01-06,LandGut GmbH,Mehl,Getreide,931,0.8,744.8,9,Nein
PO-017924,2024-01-06,FreshTrade GmbH,TK-Pommes,Tiefkühlprodukte,412,2.07,852.84,4,Nein
PO-024359,2024-01-06,FreshTrade GmbH,Reis,Getreide,123,1.9,233.7,6,Nein
PO-001249,2024-01-06,NordFood GmbH,TK-Pommes,Tiefkühlprodukte,891,2.0,1782.0,3,Nein
PO-017422,2024-01-06,GreenFields GmbH,TK-Gemüse,Tiefkühlprodukte,908,2.39,2170.12,6,Nein
PO-042457,2024-01-06,EuroFoods GmbH,Käse,Milchprodukte,782,5.44,4254.08,5,Ja
PO-037267,2024-01-06,FreshTrade GmbH,Mehl,Getreide,678,0.73,494.94,5,Nein
PO-025061,2024-01-06,FreshTrade GmbH,Reis,Getreide,835,1.74,1452.9,5,Nein
PO-010429,2024-01-06,LandGut GmbH,Joghurt,Milchprodukte,356,0.65,231.4,8,Nein
PO-005864,2024-01-06,AgroFresh GmbH,Rindfleisch,Fleisch,59,11.31,667.29,4,Nein
PO-049860,2024-01-06,BioHarvest GmbH,Mehl,Getreide,676,0.85,574.6,3,Nein
PO-012084,2024-01-06,GreenFields GmbH,Kartoffeln,Obst & Gemüse,876,0.89,779.64,5,Nein
PO-049027,2024-01-06,EuroFoods GmbH,Rindfleisch,Fleisch,153,11.51,1761.03,5,Nein
PO-031984,2024-01-06,BioHarvest GmbH,Käse,Milchprodukte,924,5.92,5470.08,3,Nein
PO-020541,2024-01-06,FreshTrade GmbH,TK-Beeren,Tiefkühlprodukte,449,4.37,1962.13,5,Nein
PO-043892,2024-01-06,AgroFresh GmbH,Milch,Milchprodukte,209,1.04,217.36,3,Nein
PO-020540,2024-01-06,LandGut GmbH,Joghurt,Milchprodukte,925,0.63,582.75,8,Nein
PO-013292,2024-01-06,GreenFields GmbH,Käse,Milchprodukte,968,5.38,5207.84,4,Nein
PO-017517,2024-01-06,NordFood GmbH,Butter,Milchprodukte,351,2.25,789.75,3,Nein
PO-031938,2024-01-06,EuroFoods GmbH,Rindfleisch,Fleisch,606,11.33,6865.98,2,Nein
PO-036566,2024-01-06,EuroFoods GmbH,Reis,Getreide,704,1.78,1253.12,4,Nein
PO-007175,2024-01-06,EuroFoods GmbH,Bananen,Obst & Gemüse,491,1.27,623.57,4,Nein
PO-007163,2024-01-06,BioHarvest GmbH,Käse,Milchprodukte,80,5.68,454.4,3,Nein
